DHT_ST4;;;
Kommentar einf�gen;;;
Date and Time;Batch Age;I: TempK;I: Druck X
DDD MMM D HH:MM:SS JJJJ;h;ﾰC;mbar
Fri Sep 30 02:20:58 2016;0,773611;25;1208,56
Fri Sep 30 02:21:03 2016;0,775;23;1208,56
Fri Sep 30 02:21:08 2016;0,776389;23;1209,17
Fri Sep 30 02:21:13 2016;0,777778;23;1210,7
Fri Sep 30 02:21:18 2016;0,779167;27;1209,94
Fri Sep 30 02:21:23 2016;0,780556;25;1209,78
Fri Sep 30 02:21:28 2016;0,781944;25;1211,77
Fri Sep 30 02:21:33 2016;0,783333;26;1209,02
Fri Sep 30 02:21:38 2016;0,784722;27;1209,02
Fri Sep 30 02:21:43 2016;0,786111;26;1209,48
Fri Sep 30 02:21:48 2016;0,7875;26;1208,41
Fri Sep 30 02:21:53 2016;0,788889;26;1209,17
Fri Sep 30 02:21:58 2016;0,790278;25;1210,85
Fri Sep 30 02:22:03 2016;0,791667;26;1208,87
Fri Sep 30 02:22:08 2016;0,793056;26;1211,31
Fri Sep 30 02:22:13 2016;0,794444;24;1208,72
Fri Sep 30 02:22:18 2016;0,795833;25;1208,72
Fri Sep 30 02:22:23 2016;0,797222;23;1210,85
Fri Sep 30 02:22:28 2016;0,798611;27;1211,77
Fri Sep 30 02:22:33 2016;0,8;24;1208,72
Fri Sep 30 02:22:38 2016;0,801389;25;1209,17
Fri Sep 30 02:22:43 2016;0,802778;25;1211,46
Fri Sep 30 02:22:48 2016;0,804167;24;1209,78
Fri Sep 30 02:22:53 2016;0,805556;25;1211,16
Fri Sep 30 02:22:58 2016;0,806944;24;1209,33
Fri Sep 30 02:23:03 2016;0,808333;27;1209,02
Fri Sep 30 02:23:08 2016;0,809722;24;1211,16
Fri Sep 30 02:23:13 2016;0,811111;25;1211,46
Fri Sep 30 02:23:18 2016;0,8125;26;1209,02
Fri Sep 30 02:23:23 2016;0,813889;26;1210,85
Fri Sep 30 02:23:28 2016;0,815278;23;1209,17
Fri Sep 30 02:23:33 2016;0,816667;23;1208,87
Fri Sep 30 02:23:38 2016;0,818056;27;1208,87
Fri Sep 30 02:23:43 2016;0,819444;23;1208,56
Fri Sep 30 02:23:48 2016;0,820833;24;1208,87
Fri Sep 30 02:23:53 2016;0,822222;26;1209,48
Fri Sep 30 02:23:58 2016;0,823611;26;1208,72
Fri Sep 30 02:24:03 2016;0,825;27;1211,62
Fri Sep 30 02:24:08 2016;0,826389;24;1210,7
Fri Sep 30 02:24:13 2016;0,827778;26;1210,7
Fri Sep 30 02:24:18 2016;0,829167;26;1211,16
Fri Sep 30 02:24:23 2016;0,830556;23;1209,02
Fri Sep 30 02:24:28 2016;0,831944;24;1209,94
Fri Sep 30 02:24:33 2016;0,833333;24;1208,87
Fri Sep 30 02:24:38 2016;0,834722;27;1208,87
Fri Sep 30 02:24:43 2016;0,836111;27;1208,56
Fri Sep 30 02:24:48 2016;0,8375;25;1208,87
Fri Sep 30 02:24:53 2016;0,838889;24;1209,02
Fri Sep 30 02:24:58 2016;0,840278;27;1209,48
Fri Sep 30 02:25:03 2016;0,841667;24;1208,72
Fri Sep 30 02:25:08 2016;0,843056;25;1208,56
Fri Sep 30 02:25:13 2016;0,844444;25;1208,41
Fri Sep 30 02:25:18 2016;0,845833;27;1209,02
Fri Sep 30 02:25:23 2016;0,847222;27;1210,7
Fri Sep 30 02:25:28 2016;0,848611;23;1210,55
Fri Sep 30 02:25:33 2016;0,85;23;1209,78
Fri Sep 30 02:25:38 2016;0,851389;27;1209,17
Fri Sep 30 02:25:43 2016;0,852778;24;1208,87
Fri Sep 30 02:25:48 2016;0,854167;25;1208,72
Fri Sep 30 02:25:53 2016;0,855556;25;1208,72
Fri Sep 30 02:25:58 2016;0,856944;27;1209,94
Fri Sep 30 02:26:03 2016;0,858333;26;1208,56
Fri Sep 30 02:26:08 2016;0,859722;25;1208,87
Fri Sep 30 02:26:13 2016;0,861111;26;1208,72
Fri Sep 30 02:26:18 2016;0,8625;27;1208,87
Fri Sep 30 02:26:23 2016;0,863889;27;1208,72
Fri Sep 30 02:26:28 2016;0,865278;25;1207,95
Fri Sep 30 02:26:33 2016;0,866667;25;1209,17
Fri Sep 30 02:26:38 2016;0,868056;26;1211,01
Fri Sep 30 02:26:43 2016;0,869444;27;1208,56
Fri Sep 30 02:26:48 2016;0,870833;23;1208,87
Fri Sep 30 02:26:53 2016;0,872222;24;1209,33
Fri Sep 30 02:26:58 2016;0,873611;27;1209,17
Fri Sep 30 02:27:03 2016;0,875;25;1210,39
Fri Sep 30 02:27:08 2016;0,876389;25;1208,87
Fri Sep 30 02:27:13 2016;0,877778;27;1208,87
Fri Sep 30 02:27:18 2016;0,879167;25;1209,78
Fri Sep 30 02:27:23 2016;0,880556;23;1209,17
Fri Sep 30 02:27:28 2016;0,881944;23;1210,24
Fri Sep 30 02:27:33 2016;0,883333;25;1209,02
Fri Sep 30 02:27:38 2016;0,884722;24;1208,72
Fri Sep 30 02:27:43 2016;0,886111;26;1208,87
Fri Sep 30 02:27:48 2016;0,8875;27;1209,33
Fri Sep 30 02:27:53 2016;0,888889;23;1209,17
Fri Sep 30 02:27:58 2016;0,890278;25;1209,17
Fri Sep 30 02:28:03 2016;0,891667;27;1208,87
Fri Sep 30 02:28:08 2016;0,893056;24;1209,02
Fri Sep 30 02:28:13 2016;0,894444;24;1208,72
Fri Sep 30 02:28:18 2016;0,895833;24;1208,72
Fri Sep 30 02:28:23 2016;0,897222;27;1208,72
Fri Sep 30 02:28:28 2016;0,898611;26;1209,02
Fri Sep 30 02:28:33 2016;0,9;23;1209,94
Fri Sep 30 02:28:38 2016;0,901389;25;1208,56
Fri Sep 30 02:28:43 2016;0,902778;23;1208,87
Fri Sep 30 02:28:48 2016;0,904167;27;1208,72
Fri Sep 30 02:28:53 2016;0,905556;24;1210,09
Fri Sep 30 02:28:58 2016;0,906944;27;1209,94
Fri Sep 30 02:29:03 2016;0,908333;25;1208,26
Fri Sep 30 02:29:08 2016;0,909722;27;1209,33
Fri Sep 30 02:29:13 2016;0,911111;26;1208,87
Fri Sep 30 02:29:18 2016;0,9125;24;1209,33
Fri Sep 30 02:29:23 2016;0,913889;23;1210,39
Fri Sep 30 02:29:28 2016;0,915278;27;1208,72
Fri Sep 30 02:29:33 2016;0,916667;24;1209,02
Fri Sep 30 02:29:38 2016;0,918056;25;1210,09
